Tweet_count,Username,Text,Created At,Retweets,Likes
16,HEMANG 🎮⚽🏑🍕,"@palashdirect @Flipkart @flipkartsupport @FlipkartStories Yesterday I faced the same kind of issue from @Flipkart. They are pathetic in service. They rejecting my order #Pixel9 because they are not capable of transporting the exchange product #Pixel6A Listen full conversation..
#Flipkart #India #Pixel #google
@madebygoogle
@GoogleIndia https://t.co/ovV4V0gx0P",Sun Aug 25 11:08:22 +0000 2024,0,0
17,Prakhar Sinha,"Google Pixel 9/Pixel 9 XL Pro....  The most awesome looking phone, I've ever seen!
Designers take a bow, you guys have nailed the designs like anything!

#Google #Pixel9",Sun Aug 25 11:07:29 +0000 2024,0,0
18,HEMANG 🎮⚽🏑🍕,"@tanveer_khokar @Flipkart @flipkartsupport @amazonIN Pathetic...
@Flipkart
is rejecting my order #Pixel9 because they are not capable of transporting the exchange product #Pixel6AHow can this be my problem?
Listen full conversation..
#Flipkart #India #Pixel #google
@madebygoogle
@GoogleIndia https://t.co/uH1JXNmhPD",Sun Aug 25 11:05:25 +0000 2024,0,0
19,HEMANG 🎮⚽🏑🍕,"@pradipp287 @flipkartsupport @Flipkart Pathetic...
@Flipkart
is rejecting my order #Pixel9 because they are not capable of transporting the exchange product #Pixel6AHow can this be my problem?
Listen full conversation..
#Flipkart #India #Pixel #google
@madebygoogle
@GoogleIndia https://t.co/g3XQmKtHH6",Sun Aug 25 11:04:24 +0000 2024,0,0
20,HEMANG 🎮⚽🏑🍕,"@abhishek Pathetic...
@Flipkart
is rejecting my order #Pixel9 because they are not capable of transporting the exchange product #Pixel6AHow can this be my problem? 
Listen full conversation.. 
  #Flipkart #India #Pixel #google
@madebygoogle
@GoogleIndia https://t.co/MEike4Zrud",Sun Aug 25 11:03:14 +0000 2024,0,1
21,Alex Alderson,"Google releases first Android 15 update to Pixel 9, Pixel 9 Pro and Pixel 9 Pro XL https://t.co/SFQOwMP8iD  #Google #Android15 #Pixel9 #Pixel9Pro #Pixel9ProXL #Smartphones #Update",Sun Aug 25 10:18:14 +0000 2024,0,0
22,govindhtech,"The Pixel 9 Was Used To Test Eight Different Items
Read more on https://t.co/dTwY6uwOB2
#Pixel9 #Gemini #Googleapp #smartphone #Pixel9phones #PixelStudio #socialmedia #Android14 #news #technews #technology #technologynews #govindhtech @Google @govindhtech https://t.co/uJUYVKMniA",Sun Aug 25 09:07:29 +0000 2024,0,0
23,HEMANG 🎮⚽🏑🍕,"Pathetic...
@Flipkart is rejecting my order #Pixel9 because they are not capable of transporting the exchange product #Pixel6A
How can this be my problem? 

#Flipkart
#India #Pixel #google
@madebygoogle @GoogleIndia https://t.co/hgATHC8RyY",Sun Aug 25 07:41:27 +0000 2024,1,0
24,𝕏 Æ A-12,@GoogleIndia @madebygoogle Any update when AppLock will be available for Pixel OS. I didn't expect this from Google that you people didn't implement this basic feature!! #Pixel9,Sun Aug 25 07:29:44 +0000 2024,0,0
25,karthik,"Bee curious when @madebygoogle launches new product 😄
.
Shot on Google pixel 6
.
#teampixel #seenonpixel @Google @GooglePixelFC @GooglePixel_US #Pixel9 #GooglePixel https://t.co/WO4R4CrNic",Sun Aug 25 06:20:58 +0000 2024,0,0
26,CY,pixel 9 / 9 pro / 9 pro xl Protective phone case Cover #pixel9case #pixel9procase #pixel9proxlcase #pixel9 #pixel9pro #pixel9proxl #covercover #handmade #diy #crafting #uniquegifts,Sun Aug 25 05:48:32 +0000 2024,0,0
27,Rohit Arora,"I clicked two pictures. One from iPhone 15 Pro and one from Pixel 9. Google photos decided that the iPhone 15 pro one is the ""Top Pick"". Quite honest Google 👏🏼

 #Pixel9 #iPhone15Pro https://t.co/0qZ1iVpbyM",Sun Aug 25 05:43:57 +0000 2024,1,39
28,Abhishek,Trying hands on Pixel first time .. Advance birthday gift .. #Pixel9 https://t.co/94hLmuq4se,Sun Aug 25 04:59:17 +0000 2024,0,0
29,Ralicious,"@Google @GoogleIndia #Pixel9 @MKBHD @TechWiser @geekyranjit  c'mon google, this isn't the pixel 9.... https://t.co/RQKOvrdGUd",Sun Aug 25 04:55:44 +0000 2024,0,0
30,TechFutureX,"🤖Pixel 9's 'Add Me' Ai feature 

Perfect group photos or AI's attempt at Where's Waldo? 

Just don’t zoom in or the pixels might give away their magic especially if you squint too hard! 

@MKBHD #GooglePixel #Pixel9 #Pixel9ProXL",Sun Aug 25 02:23:45 +0000 2024,0,1
31,(◕‿◕✿) Sonya161,Yes I finally got my pixel 9 in black. I wanted pink 🩷 but resale will be easier with the black. Love the camera. About to sell the pixel 8. 👌👌👌👌👌👌👌👌👌#Iphone15 #Iphone15plus #Pixel9 💪💰👑 https://t.co/kif5vRYjRK,Sun Aug 25 00:07:08 +0000 2024,0,0
32,Apple Snob 😝,"I got Pixel Studio to generate this scary dude. 

#Pixel9 #Pixel9ProXL #Android #Google https://t.co/MqNqU2ElNw",Sat Aug 24 22:01:11 +0000 2024,0,5
33,Apple Snob 😝,"The Pixel 9 Pro XL vs. iPhone 15 Pro Max 

The same but different 🤔 

#Pixel9 #Pixel9ProXL #Android #Google #Apple #iPhone #iOS https://t.co/Mis4eFFdWl",Sat Aug 24 21:52:51 +0000 2024,2,16
34,Apple Snob 😝,"I do like the new ultra sonic fingerprint reader on my Google Pixel 9 Pro XL. 

But,  my preference is still with FaceID on my iPhone   

Also,  I wish Google would add the ability to use shapes instead of freehand. 

#Pixel9 #Pixel9ProXL #Android #Google https://t.co/1ldajGGI62",Sat Aug 24 20:50:28 +0000 2024,0,6
35,DIGITAL DREMS,"""Georgia Tech""
""Everyone's talking about new smartphones, but the Google Pixel 9 takes it to the next level! 😍 Experience the pinnacle of Android excellence now. 📱✨ #Pixel9 #AndroidExcellence #Google"" ⬇️⬇️⬇️
https://t.co/UtptofR97Q https://t.co/ZyHWyjBC1p",Sat Aug 24 19:43:23 +0000 2024,0,0
